Sequence,Date of Collection,Clade
seq_912,2021-08-06,21J (Delta)
seq_913,2021-08-06,21J (Delta)
seq_914,2021-08-05,21J (Delta)
seq_915,2021-08-05,21J (Delta)
seq_916,2021-08-06,21A (Delta)
seq_917,2021-08-05,21I (Delta)
seq_918,2021-08-06,21J (Delta)
seq_919,2021-08-04,21J (Delta)
seq_920,2021-08-05,21J (Delta)
seq_921,2021-08-06,21J (Delta)
seq_922,2021-08-05,21J (Delta)
seq_923,2021-08-05,21J (Delta)
seq_924,2021-08-08,21J (Delta)
seq_925,2021-08-04,21J (Delta)
seq_926,2021-08-06,21J (Delta)
seq_927,2021-08-06,21J (Delta)
seq_928,2021-08-04,21J (Delta)
seq_929,2021-08-05,21J (Delta)
seq_930,2021-08-06,21J (Delta)
seq_931,2021-08-05,21J (Delta)
seq_932,2021-08-05,21J (Delta)
seq_933,2021-08-05,21J (Delta)
seq_934,2021-08-06,21J (Delta)
seq_935,2021-08-06,21J (Delta)
seq_936,2021-08-06,21J (Delta)
seq_937,2021-08-05,21J (Delta)
seq_938,2021-08-06,21J (Delta)
seq_939,2021-08-05,21J (Delta)
seq_940,2021-08-07,21J (Delta)
seq_941,2021-08-05,21G (Lambda)
seq_942,2021-08-05,21J (Delta)
seq_943,2021-08-06,21J (Delta)
seq_944,2021-08-06,21I (Delta)
seq_945,2021-08-06,21J (Delta)
seq_946,2021-08-06,21J (Delta)
seq_947,2021-08-06,21J (Delta)
seq_948,2021-08-05,21I (Delta)
seq_949,2021-08-05,21J (Delta)
seq_950,2021-08-06,21A (Delta)
seq_951,2021-08-05,21J (Delta)
seq_952,2021-08-04,"20I (Alpha, V1)"
seq_953,2021-08-06,21J (Delta)
seq_954,2021-08-05,21J (Delta)
seq_955,2021-08-05,21I (Delta)
seq_956,2021-08-04,21J (Delta)
seq_957,2021-08-05,21I (Delta)
seq_958,2021-08-06,21I (Delta)
seq_959,2021-08-06,"20J (Gamma, V3)"
seq_960,2021-08-05,21J (Delta)
seq_961,2021-08-05,21J (Delta)
seq_962,2021-08-05,21A (Delta)
seq_963,2021-08-06,21J (Delta)
seq_964,2021-08-05,21J (Delta)
seq_965,2021-08-05,21J (Delta)
seq_966,2021-08-05,21J (Delta)
seq_967,2021-08-05,21J (Delta)
seq_968,2021-08-06,21J (Delta)
seq_969,2021-08-08,21J (Delta)
seq_970,2021-08-06,21J (Delta)
seq_971,2021-08-06,21I (Delta)
seq_972,2021-08-05,21J (Delta)
seq_973,2021-08-08,21A (Delta)
seq_974,2021-08-04,21I (Delta)
seq_975,2021-08-05,21I (Delta)
seq_976,2021-08-05,21J (Delta)
seq_977,2021-08-08,21J (Delta)
seq_978,2021-08-05,21J (Delta)
seq_979,2021-08-05,21J (Delta)
seq_980,2021-08-06,21J (Delta)
seq_981,2021-08-05,21J (Delta)
seq_982,2021-08-05,21J (Delta)
seq_983,2021-08-06,21A (Delta)
seq_984,2021-08-05,21J (Delta)
seq_985,2021-08-05,21J (Delta)
seq_986,2021-08-06,21J (Delta)
seq_987,2021-08-06,21I (Delta)
seq_988,2021-08-05,21J (Delta)
seq_989,2021-08-06,21J (Delta)
seq_990,2021-08-05,21I (Delta)
seq_991,2021-08-05,21J (Delta)
seq_992,2021-08-05,21J (Delta)
seq_993,2021-08-08,21J (Delta)
seq_994,2021-08-06,21J (Delta)
seq_995,2021-08-05,21J (Delta)
seq_996,2021-08-05,21J (Delta)
seq_997,2021-08-05,21J (Delta)
seq_998,2021-08-04,21J (Delta)
seq_999,2021-08-06,21J (Delta)
seq_1000,2021-08-05,21J (Delta)
seq_1001,2021-08-05,21J (Delta)
seq_1002,2021-08-06,21I (Delta)
seq_1003,2021-08-06,21J (Delta)
seq_1004,2021-08-04,21J (Delta)
seq_1005,2021-08-04,21J (Delta)
seq_1006,2021-08-05,21J (Delta)
seq_1007,2021-08-05,21J (Delta)
seq_1008,2021-08-05,21J (Delta)
seq_1009,2021-08-05,21J (Delta)
seq_1010,2021-08-08,21J (Delta)
seq_1011,2021-08-08,21J (Delta)
seq_1012,2021-08-06,21J (Delta)
seq_1013,2021-08-05,21J (Delta)
seq_1014,2021-08-05,21I (Delta)
seq_1015,2021-08-06,21J (Delta)
seq_1016,2021-08-06,21I (Delta)
seq_1017,2021-08-06,21J (Delta)
seq_1018,2021-08-06,21J (Delta)
seq_1019,2021-08-16,21J (Delta)
seq_1020,2021-08-16,21J (Delta)
seq_1021,2021-08-17,21J (Delta)
seq_1022,2021-08-17,21J (Delta)
seq_1023,2021-08-17,21J (Delta)
seq_1024,2021-08-16,21J (Delta)
seq_1025,2021-08-16,21J (Delta)
seq_1026,2021-08-16,21J (Delta)
seq_1027,2021-08-17,21J (Delta)
seq_1028,2021-08-17,21J (Delta)
seq_1029,2021-08-16,21J (Delta)
seq_1030,2021-08-16,21J (Delta)
seq_1031,2021-08-16,21J (Delta)
seq_1032,2021-08-16,21I (Delta)
seq_1033,2021-08-16,21J (Delta)
seq_1034,2021-08-16,"20J (Gamma, V3)"
seq_1035,2021-08-16,21J (Delta)
seq_1036,2021-08-16,21J (Delta)
seq_1037,2021-08-16,21J (Delta)
seq_1038,2021-08-16,21J (Delta)
seq_1039,2021-08-16,21J (Delta)
seq_1040,2021-08-16,21I (Delta)
seq_1041,2021-08-17,21J (Delta)
seq_1042,2021-08-17,21J (Delta)
seq_1043,2021-08-17,21J (Delta)
seq_1044,2021-08-16,21J (Delta)
seq_1045,2021-08-16,21I (Delta)
seq_1046,2021-08-17,21I (Delta)
seq_1047,2021-08-16,21J (Delta)
seq_1048,2021-08-16,21J (Delta)
seq_1049,2021-08-16,21J (Delta)
seq_1050,2021-08-16,21J (Delta)
seq_1051,2021-08-16,21J (Delta)
seq_1052,2021-08-17,21J (Delta)
seq_1053,2021-08-17,21I (Delta)
seq_1054,2021-08-16,21J (Delta)
seq_1055,2021-08-17,21J (Delta)
seq_1056,2021-08-15,21J (Delta)
seq_1057,2021-08-16,21J (Delta)
seq_1058,2021-08-17,21I (Delta)
seq_1059,2021-08-17,21I (Delta)
seq_1060,2021-08-17,21J (Delta)
seq_1061,2021-08-17,21I (Delta)
seq_1062,2021-08-16,21J (Delta)
seq_1063,2021-08-16,21J (Delta)
seq_1064,2021-08-16,21J (Delta)
seq_1065,2021-08-17,21I (Delta)
seq_1066,2021-08-16,21J (Delta)
seq_1067,2021-08-17,21J (Delta)
seq_1068,2021-08-17,21J (Delta)
seq_1069,2021-08-17,21J (Delta)
seq_1070,2021-08-16,21J (Delta)
seq_1071,2021-08-17,21I (Delta)
seq_1072,2021-08-17,21J (Delta)
seq_1073,2021-08-17,21J (Delta)
seq_1074,2021-08-17,21J (Delta)
seq_1075,2021-08-16,21I (Delta)
seq_1076,2021-08-17,21J (Delta)
seq_1077,2021-08-16,21J (Delta)
seq_1078,2021-08-16,21I (Delta)
seq_1079,2021-08-17,21J (Delta)
seq_1080,2021-08-16,21J (Delta)
seq_1081,2021-08-17,21J (Delta)
seq_1082,2021-08-16,21J (Delta)
seq_1083,2021-08-16,21J (Delta)
seq_1084,2021-08-17,21J (Delta)
seq_1085,2021-08-16,21J (Delta)
seq_1086,2021-08-16,21J (Delta)
seq_1087,2021-08-16,21A (Delta)
seq_1088,2021-08-17,21A (Delta)
seq_1089,2021-08-17,21J (Delta)
seq_1090,2021-08-16,21I (Delta)
seq_1091,2021-08-17,21J (Delta)
seq_1092,2021-08-16,21J (Delta)
seq_1093,2021-08-17,21I (Delta)
seq_1094,2021-08-16,21J (Delta)
seq_1095,2021-08-16,21J (Delta)
seq_1096,2021-08-16,21J (Delta)
seq_1097,2021-08-17,21J (Delta)
seq_1098,2021-08-16,21J (Delta)
seq_1099,2021-08-16,21J (Delta)
seq_1100,2021-08-16,21I (Delta)
seq_1101,2021-08-16,21J (Delta)
seq_1102,2021-08-16,21J (Delta)
seq_1103,2021-08-16,21J (Delta)
seq_1104,2021-08-16,21J (Delta)
seq_1105,2021-08-16,21J (Delta)
seq_1106,2021-08-17,21J (Delta)
seq_1107,2021-08-17,21J (Delta)
seq_1108,2021-08-16,21J (Delta)
seq_1109,2021-08-17,21J (Delta)
seq_1110,2021-08-16,21J (Delta)
seq_1111,2021-08-17,21J (Delta)
seq_1112,2021-08-16,21J (Delta)
seq_1113,2021-08-17,21J (Delta)
seq_1114,2021-08-17,21J (Delta)
seq_1115,2021-08-16,21J (Delta)
seq_1116,2021-08-16,21J (Delta)
seq_1117,2021-08-17,21I (Delta)
seq_1118,2021-08-16,21J (Delta)
seq_1119,2021-08-16,21J (Delta)
seq_1120,2021-08-16,21J (Delta)
seq_1121,2021-08-16,21J (Delta)
seq_1122,2021-08-15,21J (Delta)
seq_1123,2021-08-16,21J (Delta)
seq_1124,2021-08-17,21J (Delta)
seq_1125,2021-08-16,21J (Delta)
seq_1126,2021-08-16,21J (Delta)
seq_1127,2021-08-16,21J (Delta)
seq_1128,2021-08-16,21J (Delta)
seq_1129,2021-08-16,21J (Delta)
seq_1130,2021-08-17,21J (Delta)
seq_1131,2021-08-17,21J (Delta)
seq_1132,2021-08-16,21I (Delta)
seq_1133,2021-08-17,21A (Delta)
seq_1134,2021-08-17,21J (Delta)
seq_1135,2021-08-16,21J (Delta)
seq_1136,2021-08-16,21J (Delta)
seq_1137,2021-08-17,21I (Delta)
seq_1138,2021-08-16,21J (Delta)
seq_1139,2021-08-16,21J (Delta)
seq_1140,2021-08-16,21I (Delta)
seq_1141,2021-08-16,21J (Delta)
seq_1142,2021-08-16,21J (Delta)
seq_1143,2021-08-16,21J (Delta)
seq_1144,2021-08-16,21J (Delta)
seq_1145,2021-08-16,21J (Delta)
seq_1146,2021-08-16,21J (Delta)
seq_1147,2021-08-16,21J (Delta)
seq_1148,2021-08-16,21I (Delta)
seq_1149,2021-08-16,21J (Delta)
seq_1150,2021-08-17,21J (Delta)
seq_1151,2021-08-19,21I (Delta)
seq_1152,2021-08-17,21J (Delta)
seq_1153,2021-08-18,21J (Delta)
seq_1154,2021-08-19,21J (Delta)
seq_1155,2021-08-18,21J (Delta)
seq_1156,2021-08-20,21J (Delta)
seq_1157,2021-08-19,21J (Delta)
seq_1158,2021-08-20,21A (Delta)
seq_1159,2021-08-17,21J (Delta)
seq_1160,2021-08-17,21J (Delta)
seq_1161,2021-08-19,21J (Delta)
seq_1162,2021-08-19,21J (Delta)
seq_1163,2021-08-18,21J (Delta)
seq_1164,2021-08-20,21J (Delta)
seq_1165,2021-08-18,21J (Delta)
seq_1166,2021-08-18,21I (Delta)
seq_1167,2021-08-17,21J (Delta)
seq_1168,2021-08-18,21J (Delta)
seq_1169,2021-08-19,21H (Mu)
seq_1170,2021-08-19,21J (Delta)
seq_1171,2021-08-18,21J (Delta)
seq_1172,2021-08-17,21J (Delta)
seq_1173,2021-08-18,21J (Delta)
seq_1174,2021-08-18,21I (Delta)
seq_1175,2021-08-18,21A (Delta)
seq_1176,2021-08-18,21I (Delta)
seq_1177,2021-08-18,21J (Delta)
seq_1178,2021-08-17,21J (Delta)
seq_1179,2021-08-18,21J (Delta)
seq_1180,2021-08-20,21J (Delta)
seq_1181,2021-08-18,21J (Delta)
seq_1182,2021-08-18,21A (Delta)
seq_1183,2021-08-17,21I (Delta)
seq_1184,2021-08-19,21J (Delta)
seq_1185,2021-08-17,21J (Delta)
seq_1186,2021-08-17,21A (Delta)
seq_1187,2021-08-17,21J (Delta)
seq_1188,2021-08-18,21J (Delta)
seq_1189,2021-08-18,21A (Delta)
seq_1190,2021-08-18,21I (Delta)
seq_1191,2021-08-18,21J (Delta)
seq_1192,2021-08-18,21J (Delta)
seq_1193,2021-08-15,21J (Delta)
seq_1194,2021-08-18,21J (Delta)
seq_1195,2021-08-17,21J (Delta)
seq_1196,2021-08-18,21A (Delta)
seq_1197,2021-08-17,21J (Delta)
seq_1198,2021-08-18,21J (Delta)
seq_1199,2021-08-20,21J (Delta)
seq_1200,2021-08-17,21J (Delta)
seq_1201,2021-08-18,21J (Delta)
seq_1202,2021-08-19,21J (Delta)
seq_1203,2021-08-18,21J (Delta)
seq_1204,2021-08-17,21J (Delta)
seq_1205,2021-08-18,21J (Delta)
seq_1206,2021-08-18,21J (Delta)
seq_1207,2021-08-20,21J (Delta)
seq_1208,2021-08-19,21J (Delta)
seq_1209,2021-08-18,21J (Delta)
seq_1210,2021-08-17,21I (Delta)
seq_1211,2021-08-18,21J (Delta)
seq_1212,2021-08-17,21J (Delta)
seq_1213,2021-08-19,21J (Delta)
seq_1214,2021-08-19,21J (Delta)
seq_1215,2021-08-18,21J (Delta)
seq_1216,2021-08-19,21J (Delta)
seq_1217,2021-08-18,21I (Delta)
seq_1218,2021-08-19,21J (Delta)
seq_1219,2021-08-17,21J (Delta)
seq_1220,2021-08-17,21H (Mu)
seq_1221,2021-08-19,21J (Delta)
seq_1222,2021-08-20,21I (Delta)
seq_1223,2021-08-15,21J (Delta)
seq_1224,2021-08-19,21J (Delta)
seq_1225,2021-08-15,21J (Delta)
seq_1226,2021-08-18,21J (Delta)
seq_1227,2021-08-20,21J (Delta)
seq_1228,2021-08-18,21J (Delta)
seq_1229,2021-08-19,21J (Delta)
seq_1230,2021-08-20,21J (Delta)
seq_1231,2021-08-18,21J (Delta)
seq_1232,2021-08-17,21J (Delta)
seq_1233,2021-08-17,21J (Delta)
seq_1234,2021-08-18,21J (Delta)
seq_1235,2021-08-19,21J (Delta)
seq_1236,2021-08-18,21J (Delta)
seq_1237,2021-08-15,21J (Delta)
seq_1238,2021-08-18,21J (Delta)
seq_1239,2021-08-19,21J (Delta)
seq_1240,2021-08-19,21J (Delta)
seq_1241,2021-08-18,21J (Delta)
seq_1242,2021-08-18,21J (Delta)
seq_1243,2021-08-19,21J (Delta)
seq_1244,2021-08-18,21J (Delta)
seq_1245,2021-08-17,21J (Delta)
seq_1246,2021-08-15,21J (Delta)
seq_1247,2021-08-20,21J (Delta)
seq_1248,2021-08-17,21J (Delta)
seq_1249,2021-08-19,21J (Delta)
seq_1250,2021-08-20,21J (Delta)
seq_1251,2021-08-18,21I (Delta)
seq_1252,2021-08-18,21J (Delta)
seq_1253,2021-08-19,21I (Delta)
seq_1254,2021-08-18,21J (Delta)
seq_1255,2021-08-20,21J (Delta)
seq_1256,2021-08-15,21J (Delta)
seq_1257,2021-08-18,21I (Delta)
seq_1258,2021-08-17,21J (Delta)
seq_1259,2021-08-18,21J (Delta)
seq_1260,2021-08-17,21I (Delta)
seq_1261,2021-08-20,21J (Delta)
seq_1262,2021-08-19,21I (Delta)
seq_1263,2021-08-18,21J (Delta)
seq_1264,2021-08-19,21J (Delta)
seq_1265,2021-08-18,21J (Delta)
seq_1266,2021-08-18,21J (Delta)
seq_1267,2021-08-18,21J (Delta)
seq_1268,2021-08-18,21J (Delta)
seq_1269,2021-08-20,21J (Delta)
seq_1270,2021-08-18,21J (Delta)
seq_1271,2021-08-18,21J (Delta)
seq_1272,2021-08-17,21I (Delta)
seq_1273,2021-08-18,21J (Delta)
seq_1274,2021-08-18,21J (Delta)
seq_1275,2021-08-20,21J (Delta)
seq_1276,2021-08-19,21J (Delta)
seq_1277,2021-08-18,21J (Delta)
seq_1278,2021-08-15,21J (Delta)
seq_1279,2021-08-18,21J (Delta)
seq_1280,2021-08-18,21I (Delta)
seq_1281,2021-08-17,21J (Delta)
seq_1282,2021-08-18,21J (Delta)
seq_1283,2021-08-18,21J (Delta)
seq_1284,2021-08-18,21J (Delta)
seq_1285,2021-08-17,21J (Delta)
seq_1286,2021-08-17,21J (Delta)
seq_1287,2021-08-18,21J (Delta)
seq_1288,2021-08-18,21J (Delta)
seq_1289,2021-08-18,21J (Delta)
seq_1290,2021-08-18,21J (Delta)
seq_1291,2021-08-18,21I (Delta)
seq_1292,2021-08-19,21J (Delta)
seq_1293,2021-08-18,21J (Delta)
seq_1294,2021-08-17,21J (Delta)
seq_1295,2021-08-18,21A (Delta)
seq_1296,2021-08-20,21J (Delta)
seq_1297,2021-08-18,21J (Delta)
seq_1298,2021-08-18,21J (Delta)
seq_1299,2021-08-18,21J (Delta)
seq_1300,2021-08-17,21J (Delta)
seq_1301,2021-08-18,21J (Delta)
seq_1302,2021-08-20,21J (Delta)
seq_1303,2021-08-18,21J (Delta)
seq_1304,2021-08-19,21J (Delta)
seq_1305,2021-08-17,21J (Delta)
seq_1306,2021-08-18,21J (Delta)
seq_1307,2021-08-18,21J (Delta)
seq_1308,2021-08-18,21J (Delta)
seq_1309,2021-08-18,21J (Delta)
seq_1310,2021-08-19,21J (Delta)
seq_1311,2021-08-18,21J (Delta)
seq_1312,2021-08-18,21J (Delta)
seq_1313,2021-08-18,21J (Delta)
seq_1314,2021-08-20,21J (Delta)
seq_1315,2021-08-20,21I (Delta)
seq_1316,2021-08-25,21J (Delta)
seq_1317,2021-08-20,21J (Delta)
seq_1318,2021-08-23,21J (Delta)
seq_1319,2021-08-25,21I (Delta)
seq_1320,2021-08-20,21J (Delta)
seq_1321,2021-08-21,21J (Delta)
seq_1322,2021-08-20,21I (Delta)
seq_1323,2021-08-25,21J (Delta)
seq_1324,2021-08-20,21J (Delta)
seq_1325,2021-08-20,21J (Delta)
seq_1326,2021-08-19,21J (Delta)
seq_1327,2021-08-20,21J (Delta)
seq_1328,2021-08-19,21J (Delta)
seq_1329,2021-08-21,21J (Delta)
seq_1330,2021-08-20,21J (Delta)
seq_1331,2021-08-20,21J (Delta)
seq_1332,2021-08-23,21I (Delta)
seq_1333,2021-08-24,21J (Delta)
seq_1334,2021-08-23,21A (Delta)
seq_1335,2021-08-23,21J (Delta)
seq_1336,2021-08-20,21J (Delta)
seq_1337,2021-08-20,21J (Delta)
seq_1338,2021-08-23,21J (Delta)
seq_1339,2021-08-20,21J (Delta)
seq_1340,2021-08-21,21J (Delta)
seq_1341,2021-08-20,21J (Delta)
seq_1342,2021-08-21,21I (Delta)
seq_1343,2021-08-25,21J (Delta)
seq_1344,2021-08-22,21J (Delta)
seq_1345,2021-08-25,21J (Delta)
seq_1346,2021-08-20,21J (Delta)
seq_1347,2021-08-20,21I (Delta)
seq_1348,2021-08-25,21J (Delta)
seq_1349,2021-08-21,21J (Delta)
seq_1350,2021-08-24,21J (Delta)
seq_1351,2021-08-24,21J (Delta)
seq_1352,2021-08-20,21I (Delta)
seq_1353,2021-08-20,21J (Delta)
seq_1354,2021-08-20,21A (Delta)
seq_1355,2021-08-24,21J (Delta)
seq_1356,2021-08-20,21J (Delta)
seq_1357,2021-08-21,21J (Delta)
seq_1358,2021-08-20,21J (Delta)
seq_1359,2021-08-22,21J (Delta)
seq_1360,2021-08-23,21J (Delta)
seq_1361,2021-08-21,21J (Delta)
seq_1362,2021-08-25,21J (Delta)
seq_1363,2021-08-23,21J (Delta)
seq_1364,2021-08-25,21I (Delta)
seq_1365,2021-08-23,21J (Delta)
seq_1366,2021-08-20,21J (Delta)
seq_1367,2021-08-21,21J (Delta)
seq_1368,2021-08-24,21J (Delta)
seq_1369,2021-08-20,21J (Delta)
seq_1370,2021-08-23,21J (Delta)
seq_1371,2021-08-20,21J (Delta)
seq_1372,2021-08-21,21I (Delta)
seq_1373,2021-08-20,21J (Delta)
seq_1374,2021-08-20,21J (Delta)
seq_1375,2021-08-20,21J (Delta)
seq_1376,2021-08-25,21J (Delta)
seq_1377,2021-08-20,21J (Delta)
seq_1378,2021-08-20,21J (Delta)
seq_1379,2021-08-25,21J (Delta)
seq_1380,2021-08-20,21J (Delta)
seq_1381,2021-08-20,21J (Delta)
seq_1382,2021-08-22,21J (Delta)
seq_1383,2021-08-20,21J (Delta)
seq_1384,2021-08-20,21J (Delta)
seq_1385,2021-08-20,21I (Delta)
seq_1386,2021-08-20,21J (Delta)
seq_1387,2021-08-19,21J (Delta)
seq_1388,2021-08-21,21J (Delta)
seq_1389,2021-08-19,21I (Delta)
seq_1390,2021-08-21,21J (Delta)
seq_1391,2021-08-20,21J (Delta)
seq_1392,2021-08-20,21J (Delta)
seq_1393,2021-08-20,21I (Delta)
seq_1394,2021-08-25,21J (Delta)
seq_1395,2021-08-25,21J (Delta)
seq_1396,2021-08-25,21J (Delta)
seq_1397,2021-08-20,21J (Delta)
seq_1398,2021-08-24,21J (Delta)
seq_1399,2021-08-22,21J (Delta)
seq_1400,2021-08-20,21J (Delta)
seq_1401,2021-08-25,21J (Delta)
seq_1402,2021-08-23,21J (Delta)
seq_1403,2021-08-23,21J (Delta)
seq_1404,2021-08-20,21J (Delta)
seq_1405,2021-08-19,21J (Delta)
seq_1406,2021-08-20,21J (Delta)
seq_1407,2021-08-23,21J (Delta)
seq_1408,2021-08-20,21J (Delta)
seq_1409,2021-08-24,21J (Delta)
seq_1410,2021-08-20,21J (Delta)
seq_1411,2021-08-25,21J (Delta)
seq_1412,2021-08-20,21J (Delta)
seq_1413,2021-08-19,21J (Delta)
seq_1414,2021-08-25,21J (Delta)
seq_1415,2021-08-25,21J (Delta)
seq_1416,2021-08-20,21J (Delta)
seq_1417,2021-08-19,21A (Delta)
seq_1418,2021-08-19,21J (Delta)
seq_1419,2021-08-23,21J (Delta)
seq_1420,2021-08-23,21J (Delta)
seq_1421,2021-08-23,21J (Delta)
seq_1422,2021-08-23,21J (Delta)
seq_1423,2021-08-23,21J (Delta)
seq_1424,2021-08-19,21J (Delta)
seq_1425,2021-08-23,21J (Delta)
seq_1426,2021-08-19,21J (Delta)
seq_1427,2021-08-23,21J (Delta)
seq_1428,2021-08-18,21J (Delta)
seq_1429,2021-08-19,21J (Delta)
seq_1430,2021-08-18,21I (Delta)
seq_1431,2021-08-19,21J (Delta)
seq_1432,2021-08-19,21J (Delta)
seq_1433,2021-08-23,21J (Delta)
seq_1434,2021-08-19,21J (Delta)
